April Showers,557 Standards Swing to Bop,8
Afternoon in Paris,557 Standards Swing to Bop,9
After You've Gone,557 Standards Swing to Bop,9
Ain't Misbehavin',557 Standards Swing to Bop,10
Ain't She Sweet,557 Standards Swing to Bop,11
Alfie's Theme,557 Standards Swing to Bop,11
Airegin (Nigeria),557 Standards Swing to Bop,12
Alice In Wonderland,557 Standards Swing to Bop,13
All Blues,557 Standards Swing to Bop,14
All God's Chillun Got Rhythm,557 Standards Swing to Bop,14
All Of Me,557 Standards Swing to Bop,15
All Of You,557 Standards Swing to Bop,15
Almost Like Being In Love,557 Standards Swing to Bop,16
All The Things You Are,557 Standards Swing to Bop,17
Alone Together,557 Standards Swing to Bop,18
Along Came Betty,557 Standards Swing to Bop,19
Angel Eyes,557 Standards Swing to Bop,20
Always,557 Standards Swing to Bop,21
Am I Blue,557 Standards Swing to Bop,21
Are You Real,557 Standards Swing to Bop,22
Anthropology,557 Standards Swing to Bop,23
April In Paris,557 Standards Swing to Bop,23
Au Privave,557 Standards Swing to Bop,24
As Long As I Live,557 Standards Swing to Bop,25
As Time Goes By,557 Standards Swing to Bop,25
Avalon,557 Standards Swing to Bop,26
Anything Goes,557 Standards Swing to Bop,27
At Long Last Love,557 Standards Swing to Bop,27
Autumn Leaves,557 Standards Swing to Bop,28
Autumn in New York,557 Standards Swing to Bop,29
Best Thing For You Is Me,557 Standards Swing to Bop,30
Bag's Groove,557 Standards Swing to Bop,31
Basin Street Blues,557 Standards Swing to Bop,31
Barbados,557 Standards Swing to Bop,32
"Baubles, Bangles And Beads",557 Standards Swing to Bop,33
Beautiful Friendship,557 Standards Swing to Bop,33
Beautiful Love,557 Standards Swing to Bop,34
Bernie's Tune,557 Standards Swing to Bop,35
Be My Love,557 Standards Swing to Bop,35
Between the Devil and the Deep Blue Sea,557 Standards Swing to Bop,36
Bemsha Swing,557 Standards Swing to Bop,37
"Bewitched, Bothered and Bewildered",557 Standards Swing to Bop,37
Bidin' my Time,557 Standards Swing to Bop,38
Billie's Bounce,557 Standards Swing to Bop,39
Birk's Works,557 Standards Swing to Bop,39
Big Blues,557 Standards Swing to Bop,40
Birth of the Blues,557 Standards Swing to Bop,40
Bittersweet,557 Standards Swing to Bop,41
"Breeze and I, The",557 Standards Swing to Bop,41
Black And Blue,557 Standards Swing to Bop,42
Black Orpheus,557 Standards Swing to Bop,43
Blue Lou,557 Standards Swing to Bop,44
Blues Walk,557 Standards Swing to Bop,44
Bloomdido,557 Standards Swing to Bop,45
Blue (And Broken Hearted),557 Standards Swing to Bop,45
Blues In The Closet,557 Standards Swing to Bop,46
Blue and Sentimental,557 Standards Swing to Bop,47
Blue Bossa,557 Standards Swing to Bop,47
Blues a la Mode,557 Standards Swing to Bop,48
Blue In Green,557 Standards Swing to Bop,
Blue 'N' Boogie,557 Standards Swing to Bop,48
Blues In The Night (My Mama Done Tol' Me),557 Standards Swing to Bop,49
Blue Room,557 Standards Swing to Bop,50
Blue Moon,557 Standards Swing to Bop,51
Blue Monk,557 Standards Swing to Bop,51
Blues For Alice,557 Standards Swing to Bop,52
Bluesette,557 Standards Swing to Bop,52
Blues March,557 Standards Swing to Bop,53
Blue Skies,557 Standards Swing to Bop,53
Born To be Blue,557 Standards Swing to Bop,54
"Boy (Girl) Next Door, The",557 Standards Swing to Bop,55
Body and Soul,557 Standards Swing to Bop,55
But Not For Me,557 Standards Swing to Bop,56
Broadway,557 Standards Swing to Bop,57
But Beautiful,557 Standards Swing to Bop,57
Bye Bye Black Bird,557 Standards Swing to Bop,58
Bye Bye Blues,557 Standards Swing to Bop,59
Cabin in the Sky,557 Standards Swing to Bop,59
Candy,557 Standards Swing to Bop,60
Can't we be Friends,557 Standards Swing to Bop,61
Cheek To Cheek,557 Standards Swing to Bop,61
Cheryl,557 Standards Swing to Bop,62
Caravan,557 Standards Swing to Bop,63
Chelsea Bridge,557 Standards Swing to Bop,64
Chega de Saudade,557 Standards Swing to Bop,65
"Cool Blues (Hot Blues, Blow Top Blues)",557 Standards Swing to Bop,66
Can't We Talk It Over,557 Standards Swing to Bop,67
Cherokee (Indian Love Song),557 Standards Swing to Bop,67
"Child Is Born, A",557 Standards Swing to Bop,68
Come Rain Or Come Shine,557 Standards Swing to Bop,69
Come Sunday,557 Standards Swing to Bop,70
Cousin Mary,557 Standards Swing to Bop,70
Con Alma,557 Standards Swing to Bop,71
Confirmation (Riff Warmer),557 Standards Swing to Bop,71
Crazy Rhythm,557 Standards Swing to Bop,72
C.T.A .,557 Standards Swing to Bop,73
Daahoud,557 Standards Swing to Bop,73
Cotton Tail (Shuckin' and Stiffin'),557 Standards Swing to Bop,75
Dancing On The Ceiling,557 Standards Swing to Bop,75
Darn That Dream,557 Standards Swing to Bop,76
Dancing In The Dark,557 Standards Swing to Bop,77
Dearly Beloved,557 Standards Swing to Bop,77
Dat Dere,557 Standards Swing to Bop,78
Days Of Wine And Roses,557 Standards Swing to Bop,79
Day Dream,557 Standards Swing to Bop,79
Deep Purple,557 Standards Swing to Bop,80
"Desafinado (Slightly Out Of Tune, Off Key)(CS)",557 Standards Swing to Bop,81
Dear Old Stockholm,557 Standards Swing to Bop,83
Didn't We,557 Standards Swing to Bop,84
Django,557 Standards Swing to Bop,85
Dolphin Dance,557 Standards Swing to Bop,86
Do Nothin' Til You Hear From Me,557 Standards Swing to Bop,87
Donna Lee,557 Standards Swing to Bop,87
Don't Be That Way,557 Standards Swing to Bop,88
Don't Blame Me,557 Standards Swing to Bop,89
Don't Explain,557 Standards Swing to Bop,89
Doxy,557 Standards Swing to Bop,90
Don't Get Around Much Anymore (Never no Lam,557 Standards Swing to Bop,91
Don't Worry 'Bout Me,557 Standards Swing to Bop,91
Easy To Love (You'd Be So Easy To Love),557 Standards Swing to Bop,92
Early Autumn,557 Standards Swing to Bop,93
East Of The Sun (And West Of The Moon),557 Standards Swing to Bop,94
Easy Living,557 Standards Swing to Bop,95
Emily,557 Standards Swing to Bop,95
Exactly Like You,557 Standards Swing to Bop,96
