Africa,the Colorado Cookbook,16
Afternoon In Paris,the Colorado Cookbook,17
Algo Bueno (Woody'n You),the Colorado Cookbook,274
All Blues,the Colorado Cookbook,18
All The Things You Are,the Colorado Cookbook,19
All You Were To Us,the Colorado Cookbook,20
Alone Together,the Colorado Cookbook,21
Along Came Betty,the Colorado Cookbook,22
Angel Eyes,the Colorado Cookbook,23
Anthropology,the Colorado Cookbook,17
Antigua,the Colorado Cookbook,25
Autumn Leaves,the Colorado Cookbook,26
Avalon,the Colorado Cookbook,28
Baby Steps,the Colorado Cookbook,29
Bags Groove,the Colorado Cookbook,43
Basin Street Blues,the Colorado Cookbook,30
Baubles Bangles & Beads,the Colorado Cookbook,31
Beatrice,the Colorado Cookbook,32
Below Zero,the Colorado Cookbook,33
Bernies Tune,the Colorado Cookbook,34
Besame Mucho,the Colorado Cookbook,35
Bessie's Blues,the Colorado Cookbook,36
Billies Bounce,the Colorado Cookbook,37
Birk's Works,the Colorado Cookbook,38
Blue Bossa,the Colorado Cookbook,39
Blue Monk,the Colorado Cookbook,37
Blue Silver,the Colorado Cookbook,40
Blue Trane,the Colorado Cookbook,36
Blues For Jan,the Colorado Cookbook,41
Blues For LJ,the Colorado Cookbook,42
Blues For Willie,the Colorado Cookbook,41
Blues In A Closet,the Colorado Cookbook,43
Blues Minor,the Colorado Cookbook,281
Blues Walk,the Colorado Cookbook,42
Body And Soul,the Colorado Cookbook,44
Bolivia,the Colorado Cookbook,45
Bustin' Chops,the Colorado Cookbook,37
But Not For Me,the Colorado Cookbook,48
Bye Bye Blackbird,the Colorado Cookbook,49
Cantaloupe Island,the Colorado Cookbook,50
Caravan,the Colorado Cookbook,51
Cedar's Blues,the Colorado Cookbook,52
Centerpiece (Keester Parade),the Colorado Cookbook,53
Ceora,the Colorado Cookbook,54
Cherokee,the Colorado Cookbook,55
Christmas Song,the Colorado Cookbook,282
Con Alma,the Colorado Cookbook,56
Confirmation,the Colorado Cookbook,57
Coral,the Colorado Cookbook,77
Corner Pocket (Until I Met You),the Colorado Cookbook,58
Cote D'azur,the Colorado Cookbook,76
Cottontail,the Colorado Cookbook,59
