12th Street Rag,the Creole Jazz Band Fakebook,1
Hindustan,the Creole Jazz Band Fakebook,2
Indiana,the Creole Jazz Band Fakebook,4
Suez,the Creole Jazz Band Fakebook,6
Afghanistan,the Creole Jazz Band Fakebook,8
Whispering,the Creole Jazz Band Fakebook,9
Eccentric,the Creole Jazz Band Fakebook,10
Margie,the Creole Jazz Band Fakebook,12
Mandy,the Creole Jazz Band Fakebook,14
Oh!,the Creole Jazz Band Fakebook,15
Panama,the Creole Jazz Band Fakebook,16
Pearls,the Creole Jazz Band Fakebook,18
Swanee,the Creole Jazz Band Fakebook,20
Stumbling,the Creole Jazz Band Fakebook,21
San,the Creole Jazz Band Fakebook,22
Sensation,the Creole Jazz Band Fakebook,24
At a Georgia Camp Meeting,the Creole Jazz Band Fakebook,25
Rock A Bye Your Baby,the Creole Jazz Band Fakebook,26
That's A Plenty,the Creole Jazz Band Fakebook,28
Just a Little While to Stay Here,the Creole Jazz Band Fakebook,30
Flee As A Bird,the Creole Jazz Band Fakebook,31
I Ain't Gonna Give Nobody None Of My Jelly Roll,the Creole Jazz Band Fakebook,32
Down Among The Sheltering Palms,the Creole Jazz Band Fakebook,34
Washington and Lee Swing,the Creole Jazz Band Fakebook,36
Joe Avery Blues,the Creole Jazz Band Fakebook,37
Pretty Baby,the Creole Jazz Band Fakebook,38
Bill Bailey,the Creole Jazz Band Fakebook,40
Frankie And Johnnie,the Creole Jazz Band Fakebook,42
China Boy,the Creole Jazz Band Fakebook,42
Alice Blue Gown,the Creole Jazz Band Fakebook,43
Jazz Baby,the Creole Jazz Band Fakebook,44
Willie The Weeper,the Creole Jazz Band Fakebook,46
The World Is Waiting For The Sunrise,the Creole Jazz Band Fakebook,48
Yama Yama Man,the Creole Jazz Band Fakebook,49
Yellow Dog Blues,the Creole Jazz Band Fakebook,50
You've Got To See Your Mamma Ev'ry Night,the Creole Jazz Band Fakebook,52
Down In Honky-Tonk Town,the Creole Jazz Band Fakebook,54
Down in Jungle Town,the Creole Jazz Band Fakebook,56
My Daddy Rocks Me,the Creole Jazz Band Fakebook,58
There'll Be Some Changes Made,the Creole Jazz Band Fakebook,60
Creole Belles,the Creole Jazz Band Fakebook,62
Skeleton Jangle,the Creole Jazz Band Fakebook,64
Sobbin' Blues,the Creole Jazz Band Fakebook,66
Hesitating Blues,the Creole Jazz Band Fakebook,68
Grizzly Bear Rag,the Creole Jazz Band Fakebook,70
He May Be Your Man,the Creole Jazz Band Fakebook,72
Satanic Blues,the Creole Jazz Band Fakebook,74
Dangerous Blues,the Creole Jazz Band Fakebook,76
Tishomingo Blues,the Creole Jazz Band Fakebook,78
Memphis Blues,the Creole Jazz Band Fakebook,80
Midnight in Moscow,the Creole Jazz Band Fakebook,81
Storyville Blues,the Creole Jazz Band Fakebook,82
Strut Miss Lizzie,the Creole Jazz Band Fakebook,84
Tain't Nobody's Biz-ness If I Do,the Creole Jazz Band Fakebook,86
Tain't Nothin' Else But Jazz,the Creole Jazz Band Fakebook,88
"Take My Hand, Precious Lord",the Creole Jazz Band Fakebook,89
Alcoholic Blues,the Creole Jazz Band Fakebook,90
Alexander's Ragtime Band,the Creole Jazz Band Fakebook,92
Riverside Blues,the Creole Jazz Band Fakebook,94
My Bucket's Got a Hole In It,the Creole Jazz Band Fakebook,95
I Can't Let 'Em Suffer,the Creole Jazz Band Fakebook,96
Oh By Jingo,the Creole Jazz Band Fakebook,98
Down By the Riverside,the Creole Jazz Band Fakebook,99
Wabash Blues,the Creole Jazz Band Fakebook,100
Lasses Candy,the Creole Jazz Band Fakebook,102
Poor Butterfly,the Creole Jazz Band Fakebook,103
King Chanticleer,the Creole Jazz Band Fakebook,104
Wild Cherries Rag,the Creole Jazz Band Fakebook,106
Ory's Creole Trombone,the Creole Jazz Band Fakebook,108
Ory's Creole Trombone (Trombone Part),the Creole Jazz Band Fakebook,110
Ja Da,the Creole Jazz Band Fakebook,112
That Da Da Strain,the Creole Jazz Band Fakebook,113
Lazy Daddy,the Creole Jazz Band Fakebook,114
Limehouse Blues,the Creole Jazz Band Fakebook,116
Livery Stable Blues (Vocal),the Creole Jazz Band Fakebook,118
Where Did Robinson Crusoe Go?,the Creole Jazz Band Fakebook,120
"Oh, Didn't He Ramble",the Creole Jazz Band Fakebook,122
Mama Don't Allow,the Creole Jazz Band Fakebook,123
That Dixie Jazz,the Creole Jazz Band Fakebook,124
Way Down Yonder in New Orleans,the Creole Jazz Band Fakebook,126
When Ragtime Rosie Ragged The Rosary,the Creole Jazz Band Fakebook,128
Floatin' Down That Old Green River,the Creole Jazz Band Fakebook,130
Floatin' Down To Cotton Town,the Creole Jazz Band Fakebook,132
Sailing Down Chesapeake Bay,the Creole Jazz Band Fakebook,134
Easy Rider's Gone,the Creole Jazz Band Fakebook,136
Eh La Bas,the Creole Jazz Band Fakebook,137
Fidgety Feet,the Creole Jazz Band Fakebook,138
Waitin' For The Robert E Lee,the Creole Jazz Band Fakebook,140
Walkin' the Dog,the Creole Jazz Band Fakebook,142
Over The Waves,the Creole Jazz Band Fakebook,144
Royal Garden Blues,the Creole Jazz Band Fakebook,145
Long Gone,the Creole Jazz Band Fakebook,146
A Good Man Is Hard To Find,the Creole Jazz Band Fakebook,148
Get Out Of Here And Go On Home,the Creole Jazz Band Fakebook,150
"Chinatown, My Chinatown",the Creole Jazz Band Fakebook,151
Cleopatra Had a Jazz Band,the Creole Jazz Band Fakebook,152
Aunt Hagar's Blues,the Creole Jazz Band Fakebook,154
Avalon,the Creole Jazz Band Fakebook,156
Amazing Grace,the Creole Jazz Band Fakebook,156
Singin' The Blues,the Creole Jazz Band Fakebook,157
Second Hand Rose,the Creole Jazz Band Fakebook,158
Lovin' Sam (The Sheik of Alabam'),the Creole Jazz Band Fakebook,160
"Ma, He's Making Eyes At Me",the Creole Jazz Band Fakebook,162
What A Friend We Have in Jesus,the Creole Jazz Band Fakebook,164
When You're A Million Miles From Nowhere,the Creole Jazz Band Fakebook,165
My Honey's Lovin' Arms,the Creole Jazz Band Fakebook,166
St. James Infirmary,the Creole Jazz Band Fakebook,168
Down Home Rag,the Creole Jazz Band Fakebook,169
Shake It and Break It,the Creole Jazz Band Fakebook,170
Dixieland Jazz Band One Step,the Creole Jazz Band Fakebook,172
Rufe Johnson's Harmony Band,the Creole Jazz Band Fakebook,174
Runnin' Wild,the Creole Jazz Band Fakebook,176
Alabama Jubilee,the Creole Jazz Band Fakebook,178
This Little Light of Mine,the Creole Jazz Band Fakebook,179
Bugle Boy March,the Creole Jazz Band Fakebook,180
Hot Lips,the Creole Jazz Band Fakebook,182
St. Louis Blues,the Creole Jazz Band Fakebook,184
Careless Love,the Creole Jazz Band Fakebook,186
Tuck Me To Sleep In My Old Tucky Home,the Creole Jazz Band Fakebook,187
The Sheik of Araby,the Creole Jazz Band Fakebook,188
I Wish I Could Shimmy Like My Sister Kate,the Creole Jazz Band Fakebook,190
The Love Nest,the Creole Jazz Band Fakebook,192
Take Me To The Land Of Jazz,the Creole Jazz Band Fakebook,194
Down In Borneo Isle,the Creole Jazz Band Fakebook,196
The Jazz Me Blues,the Creole Jazz Band Fakebook,198
Jelly Roll Blues,the Creole Jazz Band Fakebook,200
Ole Miss,the Creole Jazz Band Fakebook,202
We Will March Through the Streets of the city,the Creole Jazz Band Fakebook,204
I Never Knew I Could Love Anybody,the Creole Jazz Band Fakebook,205
Curse of An Aching Heart,the Creole Jazz Band Fakebook,206
Some of These Days,the Creole Jazz Band Fakebook,207
Rose of Washington Square,the Creole Jazz Band Fakebook,208
Old Rugged Cross,the Creole Jazz Band Fakebook,210
Dear Old Southland,the Creole Jazz Band Fakebook,211
Foolish Questions,the Creole Jazz Band Fakebook,212
