317 E. 32nd St   ,Jazz LTD,359
720 In The Books ,Jazz LTD,346
Adams Apple  ,Jazz LTD,9
Afreaka  ,Jazz LTD,10
Africaine  ,Jazz LTD,25
After Fact ,Jazz LTD,24
Ah-leu-cha  ,Jazz LTD,17
Ain't It The Truth,Jazz LTD,11
Air Conditioning  ,Jazz LTD,13
Aisha  ,Jazz LTD,12
All Members       ,Jazz LTD,13
All Too Soon      ,Jazz LTD,14
Almost  Like Being In  Love    ,Jazz LTD,15
Amor Sonador        ,Jazz LTD,16
An Oscar  For  Treadwell   ,Jazz LTD,19
Anti Climax   ,Jazz LTD,20
April  Head ,Jazz LTD,18
Aquarius   ,Jazz LTD,20
Are They Only Dreams   ,Jazz LTD,21
Arriving Soon   ,Jazz LTD,19
At Last  ,Jazz LTD,22
Autumn  Liebs ,Jazz LTD,23
Azule  Serape ,Jazz LTD,23
Baby Breeze  ,Jazz LTD,26
Background Music ,Jazz LTD,27
Bakai  ,Jazz LTD,29
Ballad (A) ,Jazz LTD,51
Band Aid  ,Jazz LTD,28
Bark for Barsdale ,Jazz LTD,25
Batter Up ,Jazz LTD,31
Beach Wise ,Jazz LTD,54
Bea's Flat ,Jazz LTD,30
Beatrice  ,Jazz LTD,30
Bemsha Swing  ,Jazz LTD,29
Berkshire Blues   ,Jazz LTD,32
Bid For(A)  ,Jazz LTD,8
Big Bear  ,Jazz LTD,34
Big Ben  ,Jazz LTD,33
Big Bertha  ,Jazz LTD,35
Big Push  ,Jazz LTD,37
Bird Calls  ,Jazz LTD,35
Birds Mother  ,Jazz LTD,38
Black   ,Jazz LTD,39
Black Bats and Poles ,Jazz LTD,40
Black Eyes  ,Jazz LTD,41
Blue Concept  ,Jazz LTD,45
Blue Fable  ,Jazz LTD,43
Blue Hawk  ,Jazz LTD,46
Blue Lace  ,Jazz LTD,44
Blue Samba  ,Jazz LTD,46
Blue Skies  ,Jazz LTD,47
Blues Peru  ,Jazz LTD,45
Bob Movers Bossa Nova   ,Jazz LTD,48
Bockhanal   ,Jazz LTD,31
