A Fonte Secou                        ,the Latin Real Book,20
A MI Que .                           ,the Latin Real Book,22
A Nivel De                           ,the Latin Real Book,24
Afro Blue                            ,the Latin Real Book,26
Aguardiente de Calla                 ,the Latin Real Book,28
Almendra                             ,the Latin Real Book,32
Alonzo                               ,the Latin Real Book,36
Amantes                              ,the Latin Real Book,38
Amazonia                             ,the Latin Real Book,46
Amor                                 ,the Latin Real Book,50
Amor Artificial                      ,the Latin Real Book,52
Anatelio (The Happy People)          ,the Latin Real Book,60
Angoa                                ,the Latin Real Book,62
Aparecida                            ,the Latin Real Book,66
Aquarela Do Brasil (a.k.a. Brazil)   ,the Latin Real Book,68
Aqui  Oh!                            ,the Latin Real Book,70
Arallue                              ,the Latin Real Book,72
Armando's Rumba                      ,the Latin Real Book,80
Atras De Nos                         ,the Latin Real Book,82
Bacchanal                            ,the Latin Real Book,84
Baia (a.k.a. Bahia)                  ,the Latin Real Book,86
Bailando Asi                         ,the Latin Real Book,88
Basta De Clamares Inocencia          ,the Latin Real Book,94
Bemba Colord                         ,the Latin Real Book,96
Besame                               ,the Latin Real Book,100
Besame Mucho                         ,the Latin Real Book,102
Bilongo                              ,the Latin Real Book,104
Bomba de Corazon                     ,the Latin Real Book,108
Brasileiro                           ,the Latin Real Book,112
Bruca Manigua                        ,the Latin Real Book,116
Building Bridges                     ,the Latin Real Book,118
Cachita                              ,the Latin Real Book,120
CamaleOn                             ,the Latin Real Book,122
Camilla y Prende El Fogon            ,the Latin Real Book,126
Capullito de Aleli                   ,the Latin Real Book,130
Cascade Of The Seven Waterfalls      ,the Latin Real Book,132
Cha-cha-cha (a.k.a. Calzada de Cerro),the Latin Real Book,134
Changuiri                            ,the Latin Real Book,136
Claudia                              ,the Latin Real Book,146
Club Morocco                         ,the Latin Real Book,148
Coisa Feita                          ,the Latin Real Book,150
Come With Me                         ,the Latin Real Book,152
Compadre Pedro Juan                  ,the Latin Real Book,154
Contigo En La Distancia              ,the Latin Real Book,156
Cubanita                             ,the Latin Real Book,158
Curacao                           ,the Latin Real Book,162
Dame Un Cachito Pa' Huele       ,the Latin Real Book,164
Danz& For My Father             ,the Latin Real Book,166
Decision                        ,the Latin Real Book,170
Dejala Que Baile Sola           ,the Latin Real Book,172
Dejala Que Siga Andando         ,the Latin Real Book,180
Dejame Sonar                    ,the Latin Real Book,184
Dile a Catalina kIrakere        ,the Latin Real Book,188
Dime Til Que Lo Sabes           ,the Latin Real Book,192
Dom De Iludir                   ,the Latin Real Book,200
Don Quixote                     ,the Latin Real Book,202
E'                              ,the Latin Real Book,204
Eastern Joy Dance               ,the Latin Real Book,206
Echale Salsita                  ,the Latin Real Book,208
El Agua Del Clavelito           ,the Latin Real Book,210
El Cantar del Coqui             ,the Latin Real Book,212
El Manisero ,the Latin Real Book,217
Elena Elena                    ,the Latin Real Book,220
Encantigo                       ,the Latin Real Book,224
Entregate                       ,the Latin Real Book,228
Estoy Como Nunca                ,the Latin Real Book,234
Flight To Jordan                ,the Latin Real Book,242
Flor De Lis (a.k.a. Upside Down),the Latin Real Book,244
FrenesI                         ,the Latin Real Book,246
Frevo                           ,the Latin Real Book,248
Guarare                         ,the Latin Real Book,250
Hannibal's Revenge              ,the Latin Real Book,258
Indestructible                  ,the Latin Real Book,260
Indiferencia                    ,the Latin Real Book,264
Jogral                          ,the Latin Real Book,268
Juan Pachanga                   ,the Latin Real Book,272
Kalinda                         ,the Latin Real Book,276
La Charanga                     ,the Latin Real Book,280
La Comparsa '                   ,the Latin Real Book,282
La Enganadora                   ,the Latin Real Book,284
La Esencia del GuaguancO        ,the Latin Real Book,286
(Se Acabo) La Malanga           ,the Latin Real Book,288
La Patria Del Son               ,the Latin Real Book,290
La Vida Es Un Sueno             ,the Latin Real Book,294
Lagrimas Negras                 ,the Latin Real Book,296
Lament() Borincano              ,the Latin Real Book,298
Latin Perspective               ,the Latin Real Book,302
Leva E Traz (Elis)              ,the Latin Real Book,304
Linda Chicana                   ,the Latin Real Book,306
Lo Que Siento es Le Lo Ley      ,the Latin Real Book,308
Lo Que Va a Pasar               ,the Latin Real Book,312
Look To The Sky                 ,the Latin Real Book,316
Loro                            ,the Latin Real Book,318
Los Tamalitos de Olga                     ,the Latin Real Book,320
Lourdes' Lullaby                          ,the Latin Real Book,322
Lua Soberana                              ,the Latin Real Book,328
Luz Do Sol                                ,the Latin Real Book,330
Mamblues                                  ,the Latin Real Book,332
Mambo #5                                  ,the Latin Real Book,334
Mambo #8                                  ,the Latin Real Book,336
Mambo Influenciado                        ,the Latin Real Book,357
Mambo Inn                                 ,the Latin Real Book,340
Manteca                                   ,the Latin Real Book,342
Maria Cervantes                           ,the Latin Real Book,344
Mas Que Nada                              ,the Latin Real Book,346
Mayeya No Juegues Con Los Santos Septeto ,the Latin Real Book,348
Me Voy Pall Pueblo                        ,the Latin Real Book,350
Meu Candrio Vizinho Azul                  ,the Latin Real Book,352
Midnight Mambo                            ,the Latin Real Book,354
Mixing                                    ,the Latin Real Book,356
Mountain Flight                           ,the Latin Real Book,358
(Anda Ven y) Muevete                      ,the Latin Real Book,360
Muito Normal                              ,the Latin Real Book,364
Mei Moreno                                ,the Latin Real Book,366
Natty Stick                               ,the Latin Real Book,374
1983,the Latin Real Book,376
Novena                                    ,the Latin Real Book,384
0 Bebado E A Equilibrista                 ,the Latin Real Book,386
0 Pato                                    ,the Latin Real Book,388
Obsesion                                  ,the Latin Real Book,390
Obsession                                 ,the Latin Real Book,392
Oferere                                   ,the Latin Real Book,396
Outra Vez                                 ,the Latin Real Book,398
Pa' Gozar                                 ,the Latin Real Book,400
Pablo Pueblo                              ,the Latin Real Book,402
Paginas de Mujer                          ,the Latin Real Book,408
Palo Pa' Rumba                            ,the Latin Real Book,416
Pare Cochero                              ,the Latin Real Book,424
Paulistana                                ,the Latin Real Book,426
Picadillo (a la Puente)                   ,the Latin Real Book,428
Ponteio                                   ,the Latin Real Book,430
Pueblo Latino                             ,the Latin Real Book,432
Pura Novela                               ,the Latin Real Book,438
Que Se Fufian                             ,the Latin Real Book,442
Que Soiptesa                              ,the Latin Real Book,446
Rainsville                                ,the Latin Real Book,450
Ran Kan Kan                               ,the Latin Real Book,452
Recuerdos de Arcaflo                      ,the Latin Real Book,454
Retrain Em Branco E Preto (a.k.a. Zingaro),the Latin Real Book,456
Rico Vacilon                              ,the Latin Real Book,458
Rio                      ,the Latin Real Book,460
Sabor                    ,the Latin Real Book,462
Sambadoura               ,the Latin Real Book,464
Sambita                  ,the Latin Real Book,466
Sandunguera              ,the Latin Real Book,468
Second Wind              ,the Latin Real Book,472
Siembra                  ,the Latin Real Book,480
Sin Saber Porque         ,the Latin Real Book,482
Sin Tu Caritio           ,the Latin Real Book,486
So Danco Samba           ,the Latin Real Book,490
So Te Esperando          ,the Latin Real Book,492
Solamente Una Vez        ,the Latin Real Book,494
Son De Cuba A Puerto Rico,the Latin Real Book,496
Son De La Loma           ,the Latin Real Book,500
Song For Chano           ,the Latin Real Book,502
Sonhos                   ,the Latin Real Book,506
Soy Antillana            ,the Latin Real Book,510
Suavecito                ,the Latin Real Book,514
Tapete Magico            ,the Latin Real Book,516
Te Desaffo               ,the Latin Real Book,518
Tin Tin Deo              ,the Latin Real Book,524
To Wisdom The Prize      ,the Latin Real Book,526
Tombo in 7/4             ,the Latin Real Book,528
Tres Lindas Cabanas      ,the Latin Real Book,530
Urn Samba                ,the Latin Real Book,532
Un Tipo Como Yo          ,the Latin Real Book,534
Vai Amigo                ,the Latin Real Book,538
Varadero Blues           ,the Latin Real Book,540
Vera Cruz                ,the Latin Real Book,542
Virgen de la Caridad     ,the Latin Real Book,544
Virou Areia '            ,the Latin Real Book,548
Vive Y Vacila            ,the Latin Real Book,552
Voce E' Linda            ,the Latin Real Book,556
Y Hoy Como Ayer          ,the Latin Real Book,558
Y Tu (.Que Has Hecho?  ,the Latin Real Book,564
Yatra-Ta                 ,the Latin Real Book,566
Yerbero Moderno          ,the Latin Real Book,568
