Abrahamn Martin and John,The Ultimate Pop Rock Fake Book,24,1

All I Have to Do is Dream,The Ultimate Pop Rock Fake Book,24,1

All Shook Up,The Ultimate Pop Rock Fake Book,25,1

All Through the Night,The Ultimate Pop Rock Fake Book,26,1

Apache,The Ultimate Pop Rock Fake Book,27,1

All I Need is a Miracle,The Ultimate Pop Rock Fake Book,28,1

Are You Lonesome Tonight?,The Ultimate Pop Rock Fake Book,29,1

At The Hop,The Ultimate Pop Rock Fake Book,29,1

Alone at Last,The Ultimate Pop Rock Fake Book,30,1

Another Somebody Done Somebody Wrong Song,The Ultimate Pop Rock Fake Book,30,1

At My Front Door,The Ultimate Pop Rock Fake Book,31,1

Along Came Jones,The Ultimate Pop Rock Fake Book,32,1

As Tears Goes By,The Ultimate Pop Rock Fake Book,32,1

Band of Gold,The Ultimate Pop Rock Fake Book,33,1

Back in the USA,The Ultimate Pop Rock Fake Book,34,1

Battle of New Orleans,The Ultimate Pop Rock Fake Book,34,1

Bad Blood,The Ultimate Pop Rock Fake Book,35,1

Baker Street,The Ultimate Pop Rock Fake Book,36,1

The Banana Boat Song,The Ultimate Pop Rock Fake Book,37,1

Big Hunk O Love,The Ultimate Pop Rock Fake Book,37,1

Bang a Gong Get it On,The Ultimate Pop Rock Fake Book,38,1

Bill Don t Be a Hero,The Ultimate Pop Rock Fake Book,38,2

Because They're Young,The Ultimate Pop Rock Fake Book,40,1

Bird Dog,The Ultimate Pop Rock Fake Book,40,1

Blue Jean,The Ultimate Pop Rock Fake Book,41,1

Blue Suede Shoes,The Ultimate Pop Rock Fake Book,42,1

Bristol Stomp,The Ultimate Pop Rock Fake Book,42,1

Blueberry Hill,The Ultimate Pop Rock Fake Book,43,1

Bennie and the Jets,The Ultimate Pop Rock Fake Book,44,1

Butterfly,The Ultimate Pop Rock Fake Book,44,1

Brandy You're a Fine girl (pop book),The Ultimate Pop Rock Fake Book,45,1

Bad Girls (pop book),The Ultimate Pop Rock Fake Book,46,1

CC Rider,The Ultimate Pop Rock Fake Book,47,1

Boys are Back in Town,The Ultimate Pop Rock Fake Book,48,1

Bread and Butter,The Ultimate Pop Rock Fake Book,49,1

Book of Love,The Ultimate Pop Rock Fake Book,50,1

Build Me Up Buttercup,The Ultimate Pop Rock Fake Book,50,1

Cant Help Falling in Love,The Ultimate Pop Rock Fake Book,51,1

Bye Bye Love,The Ultimate Pop Rock Fake Book,52,1

California Dreaming,The Ultimate Pop Rock Fake Book,52,1

Cant Buy Me Love,The Ultimate Pop Rock Fake Book,53,1

Car Wash,The Ultimate Pop Rock Fake Book,54,1

Cara Mira,The Ultimate Pop Rock Fake Book,55,1

Chantilly Lace,The Ultimate Pop Rock Fake Book,55,1

Careless Whisper,The Ultimate Pop Rock Fake Book,56,1

Cracklin Rose,The Ultimate Pop Rock Fake Book,57,1

Cathys Clown,The Ultimate Pop Rock Fake Book,58,1

Celebratae,The Ultimate Pop Rock Fake Book,58,1

Chapel of Love,The Ultimate Pop Rock Fake Book,59,1

Charlie Brown,The Ultimate Pop Rock Fake Book,60,1

Cool Jerk,The Ultimate Pop Rock Fake Book,60,1

Cotton Fields,The Ultimate Pop Rock Fake Book,61,1

Ceherry Cherry,The Ultimate Pop Rock Fake Book,62,1

Cradle of Love,The Ultimate Pop Rock Fake Book,63,1

Crocodile Rock,The Ultimate Pop Rock Fake Book,64,1

Dedicated to the One I Love,The Ultimate Pop Rock Fake Book,64,2

Come Go With Me,The Ultimate Pop Rock Fake Book,66,1

Dark Moon,The Ultimate Pop Rock Fake Book,66,1

Don t go Breaking My Heart,The Ultimate Pop Rock Fake Book,67,1

Dancing Queen,The Ultimate Pop Rock Fake Book,68,1

Daniel,The Ultimate Pop Rock Fake Book,68,1

Duke of Earl,The Ultimate Pop Rock Fake Book,69,1

DayDream,The Ultimate Pop Rock Fake Book,70,1

Diana,The Ultimate Pop Rock Fake Book,71,1

Day Tripper,The Ultimate Pop Rock Fake Book,72,1

Do You Want to Dance,The Ultimate Pop Rock Fake Book,72,2

Dear One,The Ultimate Pop Rock Fake Book,74,1

Doctor Doctor,The Ultimate Pop Rock Fake Book,74,2

Detroit City,The Ultimate Pop Rock Fake Book,76,1

Devil or Angel,The Ultimate Pop Rock Fake Book,76,1

Earth Angel,The Ultimate Pop Rock Fake Book,77,1

Did You Ever Have to Make Up Your Mind,The Ultimate Pop Rock Fake Book,78,1

Don t Be Cruel,The Ultimate Pop Rock Fake Book,79,1

Dont You Forget About Me,The Ultimate Pop Rock Fake Book,80,1

