Ah! Se Eu Pudesse,Brazilian Jazz Real Book,1
Amanhã,Brazilian Jazz Real Book,2
Amazonas,Brazilian Jazz Real Book,3
Amor Certinho,Brazilian Jazz Real Book,4
Amor em Paz,Brazilian Jazz Real Book,5
A Morte de um Deus do Sal,Brazilian Jazz Real Book,6
Anos Dourados,Brazilian Jazz Real Book,7
A Paz,Brazilian Jazz Real Book,8
Aquarela do Brasil,Brazilian Jazz Real Book,9
Aquela Coisa,Brazilian Jazz Real Book,11
Aquela Valsa,Brazilian Jazz Real Book,13
"Aqui, Oh!",Brazilian Jazz Real Book,15
A Rã,Brazilian Jazz Real Book,17
Arambaré,Brazilian Jazz Real Book,18
Arte de Voar,Brazilian Jazz Real Book,20
Até quem Sabe,Brazilian Jazz Real Book,22
Aula de Matemática,Brazilian Jazz Real Book,23
Balanço Zona Sul,Brazilian Jazz Real Book,25
Batida Diferente,Brazilian Jazz Real Book,26
Beatriz,Brazilian Jazz Real Book,27
Bebê,Brazilian Jazz Real Book,29
Beijo Partido,Brazilian Jazz Real Book,31
Bolinha de Papel,Brazilian Jazz Real Book,33
Bota na Roda,Brazilian Jazz Real Book,34
Brigas Nunca Mais,Brazilian Jazz Real Book,37
Brisa do Mar,Brazilian Jazz Real Book,38
Bye Bye Brasil,Brazilian Jazz Real Book,39
Caçador de Mim,Brazilian Jazz Real Book,40
Camburi,Brazilian Jazz Real Book,41
Caminho de Casa,Brazilian Jazz Real Book,43
Caminhos Cruzados,Brazilian Jazz Real Book,44
Canção que Morre No Ar,Brazilian Jazz Real Book,46
Carinhoso,Brazilian Jazz Real Book,47
Carioca,Brazilian Jazz Real Book,49
Cego Aderaldo,Brazilian Jazz Real Book,51
Chansong,Brazilian Jazz Real Book,53
Chega de Saudade,Brazilian Jazz Real Book,55
Chora Tua Tristeza,Brazilian Jazz Real Book,57
Chorinho Pra Ele,Brazilian Jazz Real Book,59
Choro Negro,Brazilian Jazz Real Book,61
Chovendo na Roseira,Brazilian Jazz Real Book,63
Chuva,Brazilian Jazz Real Book,66
Ciúme,Brazilian Jazz Real Book,67
Coisa Mais Linda,Brazilian Jazz Real Book,68
