Ainda Me Recordo,the Choro Fake Book,1
André de Sapato Novo (duet),the Choro Fake Book,4
André de Sapato Novo (lead sheet),the Choro Fake Book,7
Aquarela do Brasil,the Choro Fake Book,8
Assanhado,the Choro Fake Book,10
Ave Maria,the Choro Fake Book,12
Benzinho,the Choro Fake Book,14
Brasileirinho,the Choro Fake Book,13
Brasileirinho (2nd ver.),the Choro Fake Book,60
Brejeiro,the Choro Fake Book,17
Carinhoso,the Choro Fake Book,18
Chega de Saudade,the Choro Fake Book,19
Chorando Baixinho ,the Choro Fake Book,22
Chorei (lead sheet),the Choro Fake Book,24
Chorei (duet),the Choro Fake Book,26
Choro Negro,the Choro Fake Book,29
Choro no.1 - Choro Tipico (lead sheet),the Choro Fake Book,30
Choro no.1 - Choro Tipico (obligado),the Choro Fake Book,32
Cochichando,the Choro Fake Book,34
Delicado,the Choro Fake Book,36
Doce de Côco ,the Choro Fake Book,38
Fla-Flu,the Choro Fake Book,40
"Flauta, Cavaquinho e Violão",the Choro Fake Book,42
Gente Humilde,the Choro Fake Book,43
Ingênuo,the Choro Fake Book,44
Lamentos,the Choro Fake Book,46
Manha de Carnaval,the Choro Fake Book,50
Na Glória,the Choro Fake Book,48
Não Me Toques,the Choro Fake Book,51
Naquele Tempo,the Choro Fake Book,52
Noites Cariocas,the Choro Fake Book,54
Odeon (lead sheet),the Choro Fake Book,56
Odeon (obligato),the Choro Fake Book,58
Os Oito Batutas,the Choro Fake Book,61
Proesas de Solon,the Choro Fake Book,62
Receita de Samba ,the Choro Fake Book,64
Remexendo,the Choro Fake Book,66
Rosa,the Choro Fake Book,68
"Saxofone, porque choras?",the Choro Fake Book,70
Segura ele,the Choro Fake Book,72
Sempre,the Choro Fake Book,74
Sofre Porque Queres,the Choro Fake Book,76
Sonorosa,the Choro Fake Book,75
Ternura,the Choro Fake Book,78
Tico-Tico No Fuba ,the Choro Fake Book,80
Uma Zero (1 x 0),the Choro Fake Book,82
Vou Vivendo (duet),the Choro Fake Book,84
Vou Vivendo (lead sheet),the Choro Fake Book,86
