After you’ve gone,Django Fakebook,4
Ain’t misbehavin’,Django Fakebook,5
Alemberts,Django Fakebook,6
Alors?...voila!,Django Fakebook,7
Anniversary song,Django Fakebook,8
Anouman,Django Fakebook,9
Appel indirect,Django Fakebook,10
Are you in the mood,Django Fakebook,11
Artillerie lourde,Django Fakebook,12
Avalon,Django Fakebook,13
Babik,Django Fakebook,14
Bei dir war immer so schön,Django Fakebook,15
Bei mir bist du schön,Django Fakebook,16
Belleville,Django Fakebook,17
Belleville rendez-vous,Django Fakebook,18
Black and white,Django Fakebook,19
Blue drag,Django Fakebook,20
Blues en mineur,Django Fakebook,21
Blues for Ike,Django Fakebook,22
Blue skies,Django Fakebook,23
Body and soul,Django Fakebook,24
Bossa Dorado,Django Fakebook,25
Boum!,Django Fakebook,26
Brazil,Django Fakebook,27
Brise Napolitaine,Django Fakebook,28
Cantina band,Django Fakebook,30
Caravan,Django Fakebook,31
Cavalerie,Django Fakebook,32
C’est si bon,Django Fakebook,33
Charleston,Django Fakebook,34
Chez Jacquet,Django Fakebook,35
Chicago,Django Fakebook,37
China boy,Django Fakebook,38
"Chinatown, my Chinatown",Django Fakebook,39
Clair de lune,Django Fakebook,40
Confessin’,Django Fakebook,41
Continental,Django Fakebook,42
Coquette,Django Fakebook,43
Crazy rhythm,Django Fakebook,44
Crépuscule,Django Fakebook,45
Danse Norvégienne,Django Fakebook,46
Danse nuptiale,Django Fakebook,47
Daphné,Django Fakebook,48
Dark eyes,Django Fakebook,49
Destinée,Django Fakebook,50
Desvairada,Django Fakebook,51
Dicty glide,Django Fakebook,53
Diminishing,Django Fakebook,55
Dinah,Django Fakebook,56
Dinette,Django Fakebook,57
Ding-dong! the witch is dead,Django Fakebook,58
Djangology,Django Fakebook,59
Django’s tiger,Django Fakebook,60
Douce ambiance,Django Fakebook,61
Eel’s nephew,Django Fakebook,62
Embraceable you,Django Fakebook,63
Exactly like you,Django Fakebook,64
Festival 48,Django Fakebook,65
Fleur d’Ennui,Django Fakebook,66
For Sephora,Django Fakebook,67
Frolic,Django Fakebook,68
Good old days,Django Fakebook,69
Gypsy dreams,Django Fakebook,70
Gypsy fire,Django Fakebook,71
H.C.Q. Strut,Django Fakebook,72
Honeysuckle rose,Django Fakebook,73
Hungaria,Django Fakebook,75
I can’t believe that you’re in love with me,Django Fakebook,76
I can’t give you anything but love,Django Fakebook,77
If I had you,Django Fakebook,78
If I only had a brain,Django Fakebook,79
I’ll never be the same,Django Fakebook,80
I’ll see you in my dreams,Django Fakebook,81
I’m forever blowing bubbles,Django Fakebook,86
Indifférence,Django Fakebook,87
Insensiblement,Django Fakebook,89
I saw stars,Django Fakebook,90
"I surrender, dear",Django Fakebook,91
It don’t mean a thing if it ain’t got swing,Django Fakebook,92
It had to be you,Django Fakebook,93
It’s only a paper moon,Django Fakebook,94
I’ve found a new baby,Django Fakebook,95
I’ve got my love to keep me warm,Django Fakebook,96
I wanna be loved by you,Django Fakebook,97
I wonder where my baby is tonight,Django Fakebook,99
I won’t dance,Django Fakebook,101
Japanese sandman,Django Fakebook,103
J’attendrai,Django Fakebook,104
Jeepers creepers,Django Fakebook,105
Jitterbug waltz,Django Fakebook,106
"Joseph, Joseph",Django Fakebook,107
Just one for Babik,Django Fakebook,108
Just one of those things,Django Fakebook,109
Keepin’ out of mischief now,Django Fakebook,111
