12th Street Rag,Jazz Fakebook,400
9:20 Special,Jazz Fakebook,274
AC-DC Current,Jazz Fakebook,34
Across The Alley From The Alamo,Jazz Fakebook,33
After Hours,Jazz Fakebook,31
After You've Gone,Jazz Fakebook,32
Afternoon In Paris,Jazz Fakebook,34
Ah-Leu-Cha,Jazz Fakebook,35
Ain't Misbehavin',Jazz Fakebook,35
Air Mail Special,Jazz Fakebook,37
Airegin,Jazz Fakebook,36
All About Ronnie,Jazz Fakebook,37
All Blues,Jazz Fakebook,38
All Of Me,Jazz Fakebook,38
All Of You,Jazz Fakebook,38
All Or Nothing At All,Jazz Fakebook,40
All The Things You Are,Jazz Fakebook,39
Along Came Betty,Jazz Fakebook,42
Alright Okay You Win,Jazz Fakebook,41
Amapola (Pretty Little Poppy),Jazz Fakebook,42
Amazing Grace,Jazz Fakebook,43
Among My Souvenirs,Jazz Fakebook,43
And All That jazz,Jazz Fakebook,45
Angel Eyes,Jazz Fakebook,44
Another Hairdo,Jazz Fakebook,44
Apple Core,Jazz Fakebook,46
Apple Honey,Jazz Fakebook,47
Aren't You Glad You're You,Jazz Fakebook,47
As Catch Can,Jazz Fakebook,48
Au Privave,Jazz Fakebook,49
Autumn Leaves,Jazz Fakebook,49
Baby,Jazz Fakebook,49
Bags' Groove,Jazz Fakebook,50
Bags' New Groove,Jazz Fakebook,50
Ballad (A),Jazz Fakebook,51
Ballin' The Jack,Jazz Fakebook,52
Barbados,Jazz Fakebook,51
Basin Street Blues,Jazz Fakebook,53
Beautiful Friendship (A),Jazz Fakebook,52
Be-Bop,Jazz Fakebook,53
Bernie's Tune,Jazz Fakebook,54
Bess You Is My Woman,Jazz Fakebook,55
Best Is Yet To Come (The),Jazz Fakebook,55
Best Things In Life Are Free (The),Jazz Fakebook,56
Bewitched,Jazz Fakebook,57
Big P,Jazz Fakebook,57
Bill Bailey,Jazz Fakebook,58
Billie's Bounce,Jazz Fakebook,60
Bird Feathers,Jazz Fakebook,58
Birdland,Jazz Fakebook,59
Birds Of A Feather,Jazz Fakebook,60
Blessing (The),Jazz Fakebook,61
Bloomdido,Jazz Fakebook,61
Blue And Sentimental,Jazz Fakebook,62
Blue Champagne),Jazz Fakebook,63
Blue Haze,Jazz Fakebook,64
Blue In Green,Jazz Fakebook,63
Blue 'N Boogie,Jazz Fakebook,61
Blueberry Hill,Jazz Fakebook,64
Blues For Pablo,Jazz Fakebook,69
Blues In The Closet,Jazz Fakebook,65
Blues In The Night,Jazz Fakebook,65
Bluesette,Jazz Fakebook,67
Body And Soul,Jazz Fakebook,66
Boogie Woogie (The Original),Jazz Fakebook,67
Boplicity (Bebop Lives),Jazz Fakebook,69
Born To Be Blue,Jazz Fakebook,70
Breeze And 1 (The),Jazz Fakebook,71
Budo,Jazz Fakebook,72
Bud's Blues,Jazz Fakebook,71
But Beautiful,Jazz Fakebook,73
Button Up Your Overcoat,Jazz Fakebook,72
Buzzy,Jazz Fakebook,73
Bye Bye Blackbird,Jazz Fakebook,74
Bye Bye Blues,Jazz Fakebook,74
C.C. Rider,Jazz Fakebook,77
Caldonia,Jazz Fakebook,75
Candy,Jazz Fakebook,76
Can't Help Lovin' Dat Man,Jazz Fakebook,75
Cape Verdean Blues (The),Jazz Fakebook,77
Carioca,Jazz Fakebook,8
Carolina Moon 80 Cat Walk (The),Jazz Fakebook,78
Champ (The),Jazz Fakebook,80
Charmaine,Jazz Fakebook,79
Chasing The Bird,Jazz Fakebook,80
Chega De Saudade (No More Blues),Jazz Fakebook,81
Chelsea Bridge,Jazz Fakebook,82
Cherokee (Indian Love Song),Jazz Fakebook,82
Cheryl,Jazz Fakebook,83
Choo Choo Ch' Boogie,Jazz Fakebook,83
Christmas Song (The),Jazz Fakebook,84
Close As Pages In A Book,Jazz Fakebook,85
Come Rain Or Come Shine,Jazz Fakebook,85
Come Sunday,Jazz Fakebook,86
Comes Love,Jazz Fakebook,87
Confirmation,Jazz Fakebook,87
Cottage For Salt (A),Jazz Fakebook,89
Count Every Star,Jazz Fakebook,88
Crazy Rhythm,Jazz Fakebook,90
Cry Me A River,Jazz Fakebook,91
Cute,Jazz Fakebook,90
D.C. Farewell,Jazz Fakebook,92
Daahoud,Jazz Fakebook,92
Darn That Dream,Jazz Fakebook,93
Day In The Life Of A Fool (A),Jazz Fakebook,93
Dearly Beloved,Jazz Fakebook,95
Deed I Do,Jazz Fakebook,95
Desafinado (Slightly Out Of Tune),Jazz Fakebook,96
Dewey Square,Jazz Fakebook,94
Dinah,Jazz Fakebook,97
Dizzy Atmosphere,Jazz Fakebook,97
Django,Jazz Fakebook,99
Do Nothin' Till You Hear From Me,Jazz Fakebook,98
Do You Know What It Means To Miss New Orleans?,Jazz Fakebook,99
Donna Lee,Jazz Fakebook,102
Don't Explain,Jazz Fakebook,101
Don't Get Around Much Anymore,Jazz Fakebook,101
Don't Let The Sun Catch You Cryin',Jazz Fakebook,100
Don't Take Your Love From Me,Jazz Fakebook,103
Doodlin',Jazz Fakebook,104
Down By The Riverside,Jazz Fakebook,103
Doxy,Jazz Fakebook,104
Duke (The),Jazz Fakebook,105
Earl (The),Jazz Fakebook,105
Early Autumn,Jazz Fakebook,107
East Of The Sun,Jazz Fakebook,106
Easy To Love,Jazz Fakebook,106
Ecaroh,Jazz Fakebook,107
Elsa,Jazz Fakebook,108
End Of A Love Affair (The),Jazz Fakebook,109
Everybody Loves My Baby,Jazz Fakebook,110
Everything Happens To Me,Jazz Fakebook,111
Everything's Coming Up Roses,Jazz Fakebook,112
Ev'ry Time We Say Goodbye,Jazz Fakebook,109
Exactly Like You,Jazz Fakebook,113
Failing In Love With Love,Jazz Fakebook,113
Felicidade(A),Jazz Fakebook,30
Festive Minor,Jazz Fakebook,116
Fever,Jazz Fakebook,114
Fiesta In Blue,Jazz Fakebook,115
Fine And Mellow,Jazz Fakebook,117
Fine Romance (A),Jazz Fakebook,116
Fly Me To The Moon,Jazz Fakebook,118
Flying Home,Jazz Fakebook,119
Foggy Day (A),Jazz Fakebook,119
Fool That I Am,Jazz Fakebook,120
Footprints,Jazz Fakebook,121
For All We Know,Jazz Fakebook,121
For Every Man There's A Woman,Jazz Fakebook,122
For Sentimental Reasons,Jazz Fakebook,123
For You For Me For Evermore,Jazz Fakebook,123
Four,Jazz Fakebook,122
Four Brothers,Jazz Fakebook,124
Four Others,Jazz Fakebook,124
Frankie And Johnny,Jazz Fakebook,125
Fried Bananas,Jazz Fakebook,125
From This Moment On,Jazz Fakebook,127
Frosty The Snow Man,Jazz Fakebook,126
Gee Baby Ain't I Good To You,Jazz Fakebook,127
Get Out Of Town,Jazz Fakebook,129
Getting To Know You,Jazz Fakebook,129
Ghost Of A Chance (A),Jazz Fakebook,128
Girl From Ipanema (The),Jazz Fakebook,131
Glory Of Love (The),Jazz Fakebook,132
Glow Worm (The),Jazz Fakebook,133
God Bless' The Child,Jazz Fakebook,130
Goin' Out Of My Head,Jazz Fakebook,133
Gone With The Wind,Jazz Fakebook,134
Good Bait,Jazz Fakebook,135
Good Life (The),Jazz Fakebook,135
Good Man Is Hard To Find (A),Jazz Fakebook,136
Goodbye Pork Pie Hat,Jazz Fakebook,136
Greensleeves,Jazz Fakebook,137
Groovin! High,Jazz Fakebook,137
Guess Who I Saw Today,Jazz Fakebook,138
Gypsy (The),Jazz Fakebook,139
Half Nelson,Jazz Fakebook,139
Hallelujah I Love Him (Her) So,Jazz Fakebook,140
Happy Talk,Jazz Fakebook,142
Harlem Nocturne,Jazz Fakebook,143
Harold's House Of Jazz,Jazz Fakebook,141
Haunted Heart,Jazz Fakebook,143
Have You Met Miss Jones?,Jazz Fakebook,142
Hello Dolly!,Jazz Fakebook,144
Hello Young Lovers,Jazz Fakebook,145
Here's That Rainy Day,Jazz Fakebook,146
HiFly,Jazz Fakebook,145
High Society,Jazz Fakebook,146
Honeysuckle Rose,Jazz Fakebook,147
Hooray For Love,Jazz Fakebook,147
How High The Moon,Jazz Fakebook,148
How Insensitive,Jazz Fakebook,149
I Can't Get Started,Jazz Fakebook,149
I Can't Give You Anything But Love,Jazz Fakebook,150
I Concentrate On You,Jazz Fakebook,151
I Could A Book,Jazz Fakebook,152
I Could Have Danced All Night,Jazz Fakebook,152
I Cover The Waterfront,Jazz Fakebook,153
I Cried For You,Jazz Fakebook,153
I Didn't Know What Time It Was,Jazz Fakebook,154
I Don't Know Why (I just Do),Jazz Fakebook,155
I Don't Want To Set The World On Fire,Jazz Fakebook,155
I Got Plenty O' Nuttin',Jazz Fakebook,156
I Left My Heart in San Francisco,Jazz Fakebook,157
I Love Lucy,Jazz Fakebook,157
I Love Paris,Jazz Fakebook,158
I Love You,Jazz Fakebook,159
I Loves You Porgy,Jazz Fakebook,158
I Remember,Jazz Fakebook,160
I Remember Clifford,Jazz Fakebook,159
I Remember When (Si Tu Vois Me Mere),Jazz Fakebook,161
I Won't Dance,Jazz Fakebook,165
If Ever I Would Leave You,Jazz Fakebook,175
If I Were A Bell,Jazz Fakebook,176
I'll Always Be In Love With You,Jazz Fakebook,162
I'll Be Around,Jazz Fakebook,164
I'll Be Seeing You,Jazz Fakebook,166
I'll Get By (As Long As I Have You),Jazz Fakebook,166
I'll Never Smile Again,Jazz Fakebook,167
I'll Remember April,Jazz Fakebook,167
I'll Take Romance,Jazz Fakebook,169
I'll Walk Alone,Jazz Fakebook,169
Ill Wind,Jazz Fakebook,177
I'm Beginning To See The Light,Jazz Fakebook,168
I'm Confessin' That I Love You,Jazz Fakebook,170
I'm Glad There Is You,Jazz Fakebook,171
I'm Gonna Sit Right Down And Write Myself A Letter,Jazz Fakebook,171
I'm Old Fashioned,Jazz Fakebook,172
I'm Sitting On Top Of The World,Jazz Fakebook,173
Imagination,Jazz Fakebook,178
In A Little Spanish Town,Jazz Fakebook,179
In A Shanty In Old Shanty Town,Jazz Fakebook,181
In A Silent Way,Jazz Fakebook,179
In The Blue Of Evening,Jazz Fakebook,181
In The Mood,Jazz Fakebook,180
In The Still Of The Night,Jazz Fakebook,182
Indiana,Jazz Fakebook,183
Infant Eyes,Jazz Fakebook,183
Inner Space,Jazz Fakebook,183
Intermission Riff,Jazz Fakebook,184
Is You Is Or Is You Ain't,Jazz Fakebook,187
It Ain't Necessarily So,Jazz Fakebook,185
It Might As Well Be Spring,Jazz Fakebook,188
It Never Entered My Mind,Jazz Fakebook,186
It's All Right With Me,Jazz Fakebook,189
It's A Blue,Jazz Fakebook,189
It's Magic,Jazz Fakebook,191
It's Not For Me To Say,Jazz Fakebook,190
It's Only A Paper Moon,Jazz Fakebook,191
It's Sand Man,Jazz Fakebook,192
It's The Talk Of The Town,Jazz Fakebook,193
I've Got You Under My Skin,Jazz Fakebook,174
I've Grown Accustomed To Her Face,Jazz Fakebook,173
I've Heard That Song Before,Jazz Fakebook,177
Jazz-Me Blues (The),Jazz Fakebook,194
Jeannine,Jazz Fakebook,196
Jelly Roll Blues,Jazz Fakebook,195
Jersey Bounce,Jazz Fakebook,197
Jeru,Jazz Fakebook,196
Jim,Jazz Fakebook,197
Jingle-Bell Rock,Jazz Fakebook,198
Jive At Five,Jazz Fakebook,200
Johnny One Note,Jazz Fakebook,199
Johnny's Theme,Jazz Fakebook,200
Johnson Rag,Jazz Fakebook,202
Joint Is Jumpin' (The),Jazz Fakebook,201
Jor Du,Jazz Fakebook,202
Juke Box Saturday Night,Jazz Fakebook,203
Jumpin' With Symphony Sid,Jazz Fakebook,203
June Is Bustin' Out All Over,Jazz Fakebook,205
June Night,Jazz Fakebook,204
just In Time,Jazz Fakebook,205
Killer Joe,Jazz Fakebook,206
King Porter Stomp,Jazz Fakebook,207
Ko Ko,Jazz Fakebook,206
Lady Is A Tramp (The),Jazz Fakebook,208
Lands End,Jazz Fakebook,209
Last Time I Saw Paris (The),Jazz Fakebook,209
Laugh! Clown! Laugh!,Jazz Fakebook,210
Lazy Afternoon,Jazz Fakebook,211
Lees Dance,Jazz Fakebook,216
Lennie's Pennies,Jazz Fakebook,211
Lester Left Town,Jazz Fakebook,210
Let It Snow! Let It Snow! Let It Snow!,Jazz Fakebook,212
Let The Good,Jazz Fakebook,213
Let There Be Love,Jazz Fakebook,213
Let There Be You,Jazz Fakebook,214
Let's Call The Whole Thing Off,Jazz Fakebook,215
Let's Fall In Love,Jazz Fakebook,217
