A Esa,Latin Fake Book,12
Felicidade,Latin Fake Book,12
A Media Luz (The Light Of Love),Latin Fake Book,13
A Mí Qué,Latin Fake Book,14
A Santa Barbara,Latin Fake Book,15
Abran Paso,Latin Fake Book,16
Abrázame Así,Latin Fake Book,17
Acércate Mas (Come Closer To Me) ,Latin Fake Book,18
Acid,Latin Fake Book,18
Adelita,Latin Fake Book,20
Adiós,Latin Fake Book,19
Adiós Muchachos,Latin Fake Book,22
Adiós Tristeza,Latin Fake Book,21
Adoro,Latin Fake Book,23
Again And Again,Latin Fake Book,24
Agua De Beber (Water To Drink),Latin Fake Book,28
Aguardiente De Caña,Latin Fake Book,25
Aguas De Marco (Waters Of March),Latin Fake Book,26
Ahora Seremos Felices (La Casita),Latin Fake Book,28
Ahora Vengo Yo,Latin Fake Book,29
Al Impulso,Latin Fake Book,30
Alagados,Latin Fake Book,30
Allá En El. Rancho Grande (My Ranch),Latin Fake Book,31
Alma Con Alma,Latin Fake Book,32
Alma De Mujer,Latin Fake Book,32
Almendra,Latin Fake Book,34
Amanecí En Tus Brazos ,Latin Fake Book,36
Amapola (Pretty Little Poppy) ,Latin Fake Book,33
Amor,Latin Fake Book,38
Amor Artificial,Latin Fake Book,38
Amor Ciego,Latin Fake Book,40
Amor Eterno (El Mas Triste Recuerdo),Latin Fake Book,41
Amor Perdido,Latin Fake Book,42
Amor Prohibido,Latin Fake Book,43
Amore Mío,Latin Fake Book,44
Anacaona,Latin Fake Book,44
And I Love Her,Latin Fake Book,45
Andalucía,Latin Fake Book,45
Anema E Core (With All My Heart),Latin Fake Book,55
Angoa,Latin Fake Book,48
Anos Dourados (Looks Like December),Latin Fake Book,47
Antigua,Latin Fake Book,55
Aquellos Ojos Verdes (Green Eyes),Latin Fake Book,51
"Aqui, Oh!",Latin Fake Book,52
Armando's Rhumba,Latin Fake Book,53
Arrancame La Vida,Latin Fake Book,54
Arroyito,Latin Fake Book,56
Así Fue,Latin Fake Book,55
Así Se Compone Un Son,Latin Fake Book,56
Así Me Gusta,Latin Fake Book,57
Ausencia,Latin Fake Book,58
Azucenas,Latin Fake Book,59
Babalú,Latin Fake Book,60
Baía,Latin Fake Book,62
Barroco,Latin Fake Book,61
Basta De Clamares Inocéncia,Latin Fake Book,64
Beauty And The Priest,Latin Fake Book,63
Bella Señora,Latin Fake Book,66
Bésame,Latin Fake Book,65
Bésame Mucho (Kiss Me Much),Latin Fake Book,57
Bilongo,Latin Fake Book,68
Bimbombey,Latin Fake Book,69
Black Orpheus,Latin Fake Book,71
Blame It On The Bossa Nova,Latin Fake Book,72
Borinquen Tiene Montuno,Latin Fake Book,73
Bossa Antigua,Latin Fake Book,70
Bossa Nova Baby,Latin Fake Book,70
Brazil,Latin Fake Book,74
The Breeze And I,Latin Fake Book,76
Bregeiro,Latin Fake Book,76
Bruca Manigua,Latin Fake Book,77
"Buche Y Pluma ""N"" ""Ma""",Latin Fake Book,75
Cachita,Latin Fake Book,78
Cambios,Latin Fake Book,78
Camino De Guanajuato,Latin Fake Book,79
Campanitás De Cristal,Latin Fake Book,84
Cancion Del Alma,Latin Fake Book,80
Canto Karabalí,Latin Fake Book,81
Captain Marvel,Latin Fake Book,82
Capullito De Alelí,Latin Fake Book,83
Castigame,Latin Fake Book,84
Cat Talk,Latin Fake Book,85
Catalina La O,Latin Fake Book,86
(213) Cha Cha Chá,Latin Fake Book,86
Changüirí,Latin Fake Book,87
Chanko,Latin Fake Book,88
Che Che Cole,Latin Fake Book,90
Chega De Saudade (No More Blues),Latin Fake Book,88
Cherry Pink And Apple Blossom White,Latin Fake Book,90
Chiapanecas,Latin Fake Book,91
Cielito Lindo,Latin Fake Book,92
Cinco Robles (Five Oaks),Latin Fake Book,94
Clavelitos,Latin Fake Book,92
Cocinando,Latin Fake Book,94
Como La Flor,Latin Fake Book,95
Como Un Dia De Domingo,Latin Fake Book,96
Compadre Pedro Juan,Latin Fake Book,98
Con Tu Amor,Latin Fake Book,98
Congoja,Latin Fake Book,97
The Constant Rain (Chove Chuva),Latin Fake Book,100
Contigo Aprendí,Latin Fake Book,101
Contigo En La Distancia,Latin Fake Book,102
Copacabana (At The Copa),Latin Fake Book,183
Coplas Guajiras (Guitarra Guajira),Latin Fake Book,104
Coracao Apaixonado,Latin Fake Book,105
Corazón Corazón,Latin Fake Book,106
Corazón No Llores,Latin Fake Book,106
Cosas Del Corazón,Latin Fake Book,108
Costumbres,Latin Fake Book,111
Cu-cli-rru-cu-cli Paloma ,Latin Fake Book,110
Cuando Tú No Estás,Latin Fake Book,109
Cuando Vivas Conmigo,Latin Fake Book,112
Cuanto Le Gusta,Latin Fake Book,113
Cuban Lullaby,Latin Fake Book,114
Cuesta Abajo,Latin Fake Book,115
Cumana,Latin Fake Book,115
The Clip Of Life,Latin Fake Book,116
Curves Ahead,Latin Fake Book,118
Dame Un Cachito Pa' Huele,Latin Fake Book,119
Damisela Encantadora,Latin Fake Book,120
A Day In The Life Of A Fool (Manha De Carnaval) ,Latin Fake Book,119
De Corazón A Corazón,Latin Fake Book,121
De Mi Enamorarte,Latin Fake Book,122
De Niña A Mujer,Latin Fake Book,122
A Deeper Shade Of Soul,Latin Fake Book,123
Dengozo,Latin Fake Book,124
Derecho Viejo,Latin Fake Book,124
Descarga Fania,Latin Fake Book,125
Desencuentro,Latin Fake Book,128
Desafinado (Off Key) ,Latin Fake Book,126
Después De Ti,Latin Fake Book,128
Diez Años,Latin Fake Book,131
Dicen Por Ahí ,Latin Fake Book,132
A Different Shade Of Slack,Latin Fake Book,133
Dindi,Latin Fake Book,134
Dom De Iludir,Latin Fake Book,136
Don Quixote,Latin Fake Book,134
Don't Ever Go Away (Por Causa De Voce),Latin Fake Book,136
Dream Tango (Tango Du Reve),Latin Fake Book,138
Dulce Mi El,Latin Fake Book,137
É,Latin Fake Book,140
Echale Salsita,Latin Fake Book,143
El Cazangero,Latin Fake Book,142
El Choclo,Latin Fake Book,139
El Cume3anchero,Latin Fake Book,144
El Destino,Latin Fake Book,146
El Día Que Me Quieras,Latin Fake Book,144
El Hombre Es Como El Auto ,Latin Fake Book,147
El Jinete,Latin Fake Book,150
El Malecón,Latin Fake Book,152
El Mexico Que Se Nos Fue ,Latin Fake Book,148
El Relicario (Shrine Of Love) ,Latin Fake Book,152
El Rey,Latin Fake Book,156
El Toro.relajo,Latin Fake Book,150
El Triste,Latin Fake Book,154
El Tumbao Y Celia,Latin Fake Book,158
Desvelo De Amor,Latin Fake Book,139
"Elena, Elena ",Latin Fake Book,156
Ella,Latin Fake Book,158
Enamorado De Ti,Latin Fake Book,160
The End Of A Love Affair,Latin Fake Book,161
Esa Mujer,Latin Fake Book,162
Esa Triste Guitarra,Latin Fake Book,163
Escándalo,Latin Fake Book,164
España Cani,Latin Fake Book,164
Esperanza,Latin Fake Book,166
Esta Noche Voy A Verla,Latin Fake Book,167
Estate,Latin Fake Book,168
Estoy Como Nunca,Latin Fake Book,169
