500 Miles High,the New Bob Book,1
After You've Gone,the New Bob Book,2
Afternoon in Paris,the New Bob Book,3
Again,the New Bob Book,4
Agua DeBeber,the New Bob Book,5
Airegin,the New Bob Book,6
Alice In Wonderland,the New Bob Book,7
All About Ronnie,the New Bob Book,8
All My Tomorrows,the New Bob Book,9
All of Me,the New Bob Book,10
All of You,the New Bob Book,11
All or Nothing at All,the New Bob Book,12
All the Things You Are,the New Bob Book,13
All the Way,the New Bob Book,14
Alone Together,the New Bob Book,15
Along Came Betty,the New Bob Book,16
Always,the New Bob Book,17
Am I Blue,the New Bob Book,18
Among My Souvenirs,the New Bob Book,19
And I Love Her,the New Bob Book,20
Angel Eyes,the New Bob Book,21
"Angela, Jobim",the New Bob Book,22
"Angela, Minasi",the New Bob Book,23
Anthropology,the New Bob Book,24
April in Paris,the New Bob Book,25
Armando’s Rhumba,the New Bob Book,26
As Long as I Live,the New Bob Book,28
As Time Goes By,the New Bob Book,29
Ask Me Now,the New Bob Book,30
At Last,the New Bob Book,31
Au Privave,the New Bob Book,32
Autumn in New York,the New Bob Book,33
Autumn Leaves,the New Bob Book,34
Autumn Serenade,the New Bob Book,35
Barbados,the New Bob Book,36
Barbara,the New Bob Book,37
Be My Love,the New Bob Book,38
Beatrice,the New Bob Book,39
Beautiful Friendship,the New Bob Book,40
Beautiful Love,the New Bob Book,41
Because of You,the New Bob Book,42
Before You Go,the New Bob Book,43
Bernie’s Tune,the New Bob Book,44
Besame Mucho,the New Bob Book,45
Bewitched,the New Bob Book,46
Beyond the Sea,the New Bob Book,47
Big Hurt,the New Bob Book,48
Black and Blue,the New Bob Book,49
Black Coffee,the New Bob Book,50
Blame It on my Youth,the New Bob Book,51
Bloomdido,the New Bob Book,52
Blue and Sentimental,the New Bob Book,53
Blue and White,the New Bob Book,54
Blue Bossa,the New Bob Book,55
Blue Daniel,the New Bob Book,56
Blue in Green,the New Bob Book,57
Blue Moon,the New Bob Book,58
Blue Room,the New Bob Book,59
Blue Seven,the New Bob Book,60
Blue Skies,the New Bob Book,61
Blues for Alice,the New Bob Book,62
Bock to Bock,the New Bob Book,63
Body & Soul,the New Bob Book,64
Bolivia,the New Bob Book,65
Bossa Rocka,the New Bob Book,66
